fid,extensao,consorcio,descricao_desvio,tipo_rota,shape_id,direcao,destino,servico,SHAPE__Length,tipo_dia
221,28588,Internorte,,regular,986i,0,Castelo,325,28588.8248632152,U
222,18632,Internorte,,regular,98sl,0,Méier,653,18632.7709975068,U
223,11060,MOBI-Rio,,regular,98zp,0,Terminal Deodoro,68,11060.7693466508,U
224,71168,Santa Cruz,,regular,9ann,0,Candelária,SN388,71168.8499879264,U
225,36861,Internorte,,regular,9bbf,0,Praça da Bandeira,SV624,36861.5101091065,U
226,15457,Transcarioca,,regular,9d55422a-d473-4b6d-93ca-9be9cd7ef928,1,Terminal Taquara,900,15457.5379825125,U
227,18077,Intersul,,regular,9ftt,1,Rocinha,539,18077.738445951,U
228,32920,Transcarioca,,regular,9h0e,0,Terminal Alvorada,692,32920.0114399661,U
229,8732,Intersul,,regular,9koq,1,Santa Alexandrina,201,8732.15485307106,U
230,17515,Internorte,,regular,9ptt,0,Castelo,232,17515.4046340186,U
231,22561,Santa Cruz,,regular,9r5c,0,Terminal Recreio,SV899,22561.2591235539,U
232,23416,MOBI-Rio,,brt,9sit,1,Terminal Pingo d'Água,19,23416.2898262322,U
233,25204,MOBI-Rio,,brt,9ttx,0,Terminal Gentileza,60,25204.3826989342,U
234,8605,Transcarioca,,regular,9u3h,0,Irajá,712,8605.84711017712,U
235,43374,Santa Cruz,,regular,9un7,1,Santa Cruz,754,43374.05633279,U
236,21053,Transcarioca,,regular,9uzp,1,Terminal Taquara,SN954,21053.8630257121,U
237,40921,Internorte,,regular,9vau,1,Mariópolis,SN624,40921.6492917397,U
238,42938,Santa Cruz,,regular,9vn3,0,Terminal Deodoro,754,42938.571461745,U
239,17961,Transcarioca,,regular,9vre,0,Madureira,775,17961.9508562202,U
240,79272,Santa Cruz,,frescao,E2337AAA0AVRM01,1,Santa Cruz,2337,79272.5786600861,U
241,25158,Transcarioca,,regular,O0038CAA0AIDU01,0,Saens Peña,645,25158.6526821379,U
242,18849,Transcarioca,,regular,O0039CAA0AIDU01,0,Vargem Grande,817,18849.6438134223,U
243,16192,Transcarioca,,regular,O0039CAA0AVDU01,1,Piabas,817,16192.2064581716,U
244,17144,Transcarioca,,regular,O0042CAA0AIDU01,0,Joatinga,990,17144.6974028191,U
245,15244,Transcarioca,,regular,O0042CAA0AVDU01,1,Merck,990,15244.3075666658,U
246,6177,Santa Cruz,,regular,O0044CAA0AIDU01,0,Campo Grande,808,6177.4025458541,U
247,6846,Santa Cruz,,regular,O0044CAA0AVDU01,1,Salim,808,6846.47940731116,U
248,22836,Santa Cruz,,regular,O0045CAA0AIDU01,1,Barra de Guaratiba,899,22836.989954559,U
249,20334,Santa Cruz,,regular,O0045CAA0AVDU01,0,Terminal Recreio,899,20334.3173146848,U
250,11662,Intersul,,regular,O0133AAA0AVDU02,1,Largo do Machado,SN133,11662.9745877098,U
251,10405,Intersul,,regular,O0202AAA0AVDU02,1,Rio Comprido,202,10405.1212831138,U
252,10923,Intersul,,regular,O0229AAA0AIDU02,0,Castelo,229,10923.5696042588,U
253,16217,Internorte,,regular,O0232AAA0AVDU01,1,Lins de Vasconcelos,SN232,16217.7310985647,U
254,33368,Internorte,,regular,O0298AAA0AIDU01,0,Castelo,SN298,33368.1845034063,U
255,38877,Santa Cruz,,regular,O0300AAR0AIDU01,0,Candelária,SR300,38877.7672337307,U
256,38429,Santa Cruz,,regular,O0300AAR0AVDU01,1,Terminal Sulacap,SR300,38429.0392244509,U
257,27695,Internorte,,regular,O0328AAV0AIDU01,0,Candelária,SR328,27695.4625734548,U
258,28643,Internorte,,regular,O0328AAV0AVDU01,1,Bananal,SR328,28643.5444579869,U
259,32048,Internorte,,regular,O0342AAR0AIDU01,0,Castelo,SR342,32048.174467063,U
260,28663,Internorte,,regular,O0342AAR0AVDU02,1,Jardim América,SR342,28663.1050662766,U
261,37351,Transcarioca,,regular,O0352AAA0AVDU02,1,Riocentro,352,37351.5825938779,U
262,28531,Internorte,,regular,O0355AAR0AIDU01,0,Praça Tiradentes,SR355,28531.2163243911,U
263,29101,Internorte,,regular,O0355AAR0AVDU01,1,Madureira,SR355,29101.1000330279,U
264,39839,Santa Cruz,,regular,O0369AAA0AVDU01,1,Bangu,369,39839.8707940644,U
265,35621,Internorte,,regular,O0378AAR0AIDU01,0,Castelo,SR378,35621.5766371358,U
266,36493,Internorte,,regular,O0378AAR0AVDU01,1,Marechal Hermes,SR378,36493.6819023184,U
267,44030,Santa Cruz,,regular,O0393AAR0AIDU01,0,Candelária,SR393,44030.0613037009,U
268,45228,Santa Cruz,,regular,O0393AAR0AVDU01,1,Bangu,SR393,45228.5260896207,U
269,24211,Internorte,,regular,O0456AAA0AIDU01,0,Copacabana,LECD132,24211.372643214,U
270,25556,Internorte,,regular,O0456AAA0AVDU01,1,Norte Shopping,LECD132,25556.3913810106,U
271,29812,Intersul,,regular,O0474AAN0AIDU02,0,Copacabana,SN474,29812.7928286389,U
272,21330,Internorte,,regular,O0629AAA0AVDU01,1,Irajá,SN629,21330.3369493296,U
273,32940,Internorte,,regular,O0639AAA0AIDU01,0,Saens Peña,SN639,32940.2462724477,U
274,34026,Internorte,,regular,O0639AAA0AVDU01,1,Jardim América,SN639,34026.9038338047,U
275,37528,Internorte,,regular,O0696AAA0AVDU01,1,Méier,SN696,37528.8598098414,U
276,18181,Santa Cruz,,regular,O0745AAA0AIDU01,0,Cascadura,745,18181.0195657787,U
277,19077,Santa Cruz,,regular,O0745AAA0AVDU01,1,Bangu,745,19077.0030255653,U
278,18752,Santa Cruz,,regular,O0746AAA0AIDU01,0,Cascadura,746,18752.8794275365,U
279,19430,Santa Cruz,,regular,O0746AAA0AVDU01,1,Jabour,746,19430.1239265661,U
280,49185,Santa Cruz,,regular,O0756AAA0AIDU01,0,Metrô Coelho Neto,756,49185.5676415628,U
281,48600,Santa Cruz,,regular,O0756AAA0AVDU01,1,Santa Cruz,756,48600.3569690594,U
282,47013,Santa Cruz,,regular,O0759AAA0AIDU01,0,Metrô Coelho Neto,759,47013.1125333026,U
283,46302,Santa Cruz,,regular,O0759AAA0AVDU01,1,Cesarão,759,46302.683183754,U
284,40479,Santa Cruz,,regular,O0759AAP0AIDU01,0,Terminal Deodoro,SP759,40479.4178556088,U
285,42145,Santa Cruz,,regular,O0759AAP0AVDU01,1,Cesarão,SP759,42145.8589425011,U
286,14520,Santa Cruz,,regular,O0769AAA0AIDU01,0,Terminal Deodoro,SP918,14520.5926436706,U
287,17252,Santa Cruz,,regular,O0769AAA0AVDU01,1,Jardim Violeta,SP918,17252.794832662,U
288,29043,Santa Cruz,,regular,O0770AAA0AVDU01,1,Campo Grande,770,29043.0595687372,U
289,25362,Santa Cruz,,regular,O0777AAV0AVDU02,1,Padre Miguel,SV777,25362.7586748289,U
290,36245,Santa Cruz,,regular,O0790AAV0AVDU02,1,Campo Grande,SV790,36245.4681576803,U
291,21744,Santa Cruz,,regular,O0801AAA0AIDU01,0,Taquara,801,21744.5440602768,U
292,25628,Santa Cruz,,regular,O0801AAA0AVDU01,1,Bangu,801,25628.1527065259,U
293,13540,Santa Cruz,,regular,O0801AAP0AIDU01,0,Terminal Sulacap,SP801,13540.8844185504,U
294,14512,Santa Cruz,,regular,O0801AAP0AVDU01,1,Bangu,SP801,14512.1229435416,U
295,15239,Santa Cruz,,regular,O0802AAA0AIDU01,1,Terminal Campo Grande,802,15239.8873348269,U
296,13060,Santa Cruz,,regular,O0802AAA0AVDU01,0,Bangu,802,13060.1492017199,U
297,25551,Santa Cruz,,regular,O0804AAA0AVDU01,1,Terminal Curral Falso,804,25551.5051972655,U
298,7103,Santa Cruz,,regular,O0809AAA0AIDU01,0,Santa Cruz,809,7103.75997394003,U
299,7786,Santa Cruz,,regular,O0809AAA0AVDU01,1,Sagrado Coração,809,7786.60076471426,U
300,13419,Santa Cruz,,regular,O0822AAA0AIDU01,0,Circular,822,13419.877908831,U
301,22678,Santa Cruz,,regular,O0825AAA0AIDU02,0,Jesuítas,825,22678.3569634398,U
302,21131,Santa Cruz,,regular,O0825AAA0AVDU02,1,Campo Grande,825,21131.2498476152,U
303,6008,Transcarioca,,regular,O0829AAA0AIDU01,0,Circular,829,6008.10635524746,U
